track_name,album_name,artist_name,release_date,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
There’d Better Be A Mirrorball,The Car,Arctic Monkeys,21-10-22,1zx6GSqLYI2ynzAHnPRKBR,0.521,0.365,3,-10.914,1,0.0317,0.626,0.012,0.185,0.324,143.789,audio_features,1zx6GSqLYI2ynzAHnPRKBR,spotify:track:1zx6GSqLYI2ynzAHnPRKBR,https://api.spotify.com/v1/tracks/1zx6GSqLYI2ynzAHnPRKBR,https://api.spotify.com/v1/audio-analysis/1zx6GSqLYI2ynzAHnPRKBR,265798,4
I Ain’t Quite Where I Think I Am,The Car,Arctic Monkeys,21-10-22,1UwUhKmFxGKs59xiWO60Sx,0.544,0.337,10,-9.846,1,0.0653,0.357,6.34E-05,0.085,0.667,192.685,audio_features,1UwUhKmFxGKs59xiWO60Sx,spotify:track:1UwUhKmFxGKs59xiWO60Sx,https://api.spotify.com/v1/tracks/1UwUhKmFxGKs59xiWO60Sx,https://api.spotify.com/v1/audio-analysis/1UwUhKmFxGKs59xiWO60Sx,191174,4
Sculptures Of Anything Goes,The Car,Arctic Monkeys,21-10-22,5hljqZrl0h7RcIhUnOPuve,0.591,0.309,4,-11.087,0,0.0287,0.704,0.0122,0.102,0.257,71.573,audio_features,5hljqZrl0h7RcIhUnOPuve,spotify:track:5hljqZrl0h7RcIhUnOPuve,https://api.spotify.com/v1/tracks/5hljqZrl0h7RcIhUnOPuve,https://api.spotify.com/v1/audio-analysis/5hljqZrl0h7RcIhUnOPuve,239151,4
Jet Skis On The Moat,The Car,Arctic Monkeys,21-10-22,2HReNSxrMRcJ0cYMzKAJK6,0.651,0.244,7,-11.925,1,0.0544,0.856,0.00165,0.0895,0.395,149.759,audio_features,2HReNSxrMRcJ0cYMzKAJK6,spotify:track:2HReNSxrMRcJ0cYMzKAJK6,https://api.spotify.com/v1/tracks/2HReNSxrMRcJ0cYMzKAJK6,https://api.spotify.com/v1/audio-analysis/2HReNSxrMRcJ0cYMzKAJK6,197576,3
Body Paint,The Car,Arctic Monkeys,21-10-22,42GuKw49pPxNAkIhWGwgFs,0.556,0.315,7,-11.651,0,0.0625,0.568,0,0.0774,0.256,143.327,audio_features,42GuKw49pPxNAkIhWGwgFs,spotify:track:42GuKw49pPxNAkIhWGwgFs,https://api.spotify.com/v1/tracks/42GuKw49pPxNAkIhWGwgFs,https://api.spotify.com/v1/audio-analysis/42GuKw49pPxNAkIhWGwgFs,290584,4
The Car,The Car,Arctic Monkeys,21-10-22,0C6dSPCqwKqwos6s1CrDrh,0.428,0.365,4,-11.889,0,0.0276,0.78,0.0033,0.113,0.236,94.033,audio_features,0C6dSPCqwKqwos6s1CrDrh,spotify:track:0C6dSPCqwKqwos6s1CrDrh,https://api.spotify.com/v1/tracks/0C6dSPCqwKqwos6s1CrDrh,https://api.spotify.com/v1/audio-analysis/0C6dSPCqwKqwos6s1CrDrh,198554,3
Big Ideas,The Car,Arctic Monkeys,21-10-22,4KPi4VNvPOfKqIp1sx19Xf,0.548,0.328,9,-9.973,0,0.0296,0.663,0.00365,0.0972,0.343,67.023,audio_features,4KPi4VNvPOfKqIp1sx19Xf,spotify:track:4KPi4VNvPOfKqIp1sx19Xf,https://api.spotify.com/v1/tracks/4KPi4VNvPOfKqIp1sx19Xf,https://api.spotify.com/v1/audio-analysis/4KPi4VNvPOfKqIp1sx19Xf,237984,3
Hello You,The Car,Arctic Monkeys,21-10-22,5ygEUpyZy5qtZ1423zymBW,0.394,0.452,4,-9.923,0,0.0321,0.276,0.00998,0.193,0.653,169.298,audio_features,5ygEUpyZy5qtZ1423zymBW,spotify:track:5ygEUpyZy5qtZ1423zymBW,https://api.spotify.com/v1/tracks/5ygEUpyZy5qtZ1423zymBW,https://api.spotify.com/v1/audio-analysis/5ygEUpyZy5qtZ1423zymBW,244932,4
Mr Schwartz,The Car,Arctic Monkeys,21-10-22,5fClRRa7P9nPIpstj50veV,0.569,0.335,11,-13.637,0,0.0322,0.802,0.018,0.0834,0.388,127.587,audio_features,5fClRRa7P9nPIpstj50veV,spotify:track:5fClRRa7P9nPIpstj50veV,https://api.spotify.com/v1/tracks/5fClRRa7P9nPIpstj50veV,https://api.spotify.com/v1/audio-analysis/5fClRRa7P9nPIpstj50veV,210012,4
Perfect Sense,The Car,Arctic Monkeys,21-10-22,0z5x3VmmQ7cyTeOP7VAf3T,0.52,0.478,4,-10.862,1,0.0276,0.61,0.00122,0.105,0.545,82.932,audio_features,0z5x3VmmQ7cyTeOP7VAf3T,spotify:track:0z5x3VmmQ7cyTeOP7VAf3T,https://api.spotify.com/v1/tracks/0z5x3VmmQ7cyTeOP7VAf3T,https://api.spotify.com/v1/audio-analysis/0z5x3VmmQ7cyTeOP7VAf3T,167380,4
Four Out Of Five - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,5dthj0uH1DJAbxC6B9n4Co,0.463,0.802,9,-7.804,0,0.0711,0.0887,0,0.949,0.451,129.643,audio_features,5dthj0uH1DJAbxC6B9n4Co,spotify:track:5dthj0uH1DJAbxC6B9n4Co,https://api.spotify.com/v1/tracks/5dthj0uH1DJAbxC6B9n4Co,https://api.spotify.com/v1/audio-analysis/5dthj0uH1DJAbxC6B9n4Co,331520,4
Brianstorm - Live,Live at the Royal Albert Hall,Arctic Monkeys,04-12-20,1RJxGCTCROHUFVWMFOWPYM,0.291,0.934,0,-8.238,1,0.17,0.0197,0.000707,0.833,0.244,80.602,audio_features,1RJxGCTCROHUFVWMFOWPYM,spotify:track:1RJxGCTCROHUFVWMFOWPYM,https://api.spotify.com/v1/tracks/1RJxGCTCROHUFVWMFOWPYM,https://api.spotify.com/v1/audio-analysis/1RJxGCTCROHUFVWMFOWPYM,209907,4
