Track ID,Album ID,Album,Release Date,Track,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,loudness,duration_ms,popularity
0eDQj41kzBhMKQIkTt6OJR,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,A Certain Romance,0.000566,0.455,0.881,6.06e-05,0.11,0.0401,0.201,137.949,-5.587,331200,0.61
5eyTC5GZzpzlN7YRO9AoPf,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,The View From The Afternoon,0.00487,0.387,0.922,0.0,0.187,0.0674,0.417,146.478,-5.192,222947,0.58
3DQVgcqaP3iSMbaKsd57l5,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,I Bet You Look Good On The Dancefloor,0.00225,0.535,0.948,0.0,0.376,0.0356,0.778,103.183,-4.19,173680,0.72
7BuzJmV2h6eBbSDdRaDY7C,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,Fake Tales Of San Francisco,0.00998,0.454,0.778,0.0,0.0427,0.0449,0.704,127.158,-4.225,177947,0.61
0hAMkY2kwdXPPDfQ1e3BmJ,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,Dancing Shoes,0.00328,0.522,0.889,0.0,0.345,0.0461,0.852,144.499,-4.137,141133,0.61
111SaDBbcHW0zedi4RBHDp,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,You Probably Couldn't See For The Lights But You Were Staring Straight At Me,0.00384,0.58,0.972,0.0,0.296,0.0589,0.926,105.492,-4.274,130813,0.54
2vQQfWTanvD99OeHLAoyhW,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,From The Ritz To The Rubble,0.00147,0.216,0.882,0.0,0.308,0.0439,0.656,189.286,-5.176,193427,0.65
4wMR4fRKMTyUJG6VAsmccv,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,Riot Van,0.358,0.593,0.333,0.0,0.245,0.046,0.258,103.537,-14.342,134933,0.58
2zzLRQ78kKfPTx8FJQCdC2,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,When The Sun Goes Down,0.0341,0.348,0.875,0.0,0.117,0.199,0.407,169.152,-4.758,202133,0.7
6Slvi85s1hIaeykjvDe1xk,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,Perhaps Vampires Is A Bit Strong But…,0.000293,0.371,0.914,8.75e-05,0.0852,0.081,0.394,134.982,-4.917,268627,0.54
64a5XZCVDWwvC7gwPPCsH6,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,Still Take You Home,0.000669,0.599,0.946,0.0,0.0973,0.0378,0.653,108.934,-4.192,173667,0.55
56GFlp1dkt7dw56pQdTwqW,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,Red Light Indicates Doors Are Secured,0.00316,0.622,0.846,0.0,0.0989,0.0311,0.914,110.683,-4.831,143627,0.55
2fyIS6GXMgUcSv4oejx63f,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,Mardy Bum,0.0288,0.634,0.599,0.0,0.197,0.0365,0.312,112.215,-5.447,175440,0.71
7f9I5WdyXm5q1XqnSYgQZb,1XkGORuUX2QGOEIL4EbJKm,Favourite Worst Nightmare,2007-04-22,Brianstorm,8.15e-05,0.42,0.974,0.00155,0.0871,0.191,0.463,165.182,-4.706,172867,0.66
5kxVyCgEUND7E2QKG7JmoF,1XkGORuUX2QGOEIL4EbJKm,Favourite Worst Nightmare,2007-04-22,Teddy Picker,0.000286,0.637,0.963,0.000889,0.0449,0.0882,0.823,150.1,-5.116,165000,0.67
5RrHzXKmwVd5BCq4UzyJPd,1XkGORuUX2QGOEIL4EbJKm,Favourite Worst Nightmare,2007-04-22,D is for Dangerous,1.09e-05,0.555,0.925,0.000161,0.0659,0.0362,0.77,145.061,-4.689,138107,0.58
