Track ID,Album ID,Album,Release Date,Track,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,loudness,duration_ms,popularity
7xuu4ByQkm8qhnwJQk994r,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,New York City Cops,0.071,0.522,0.853,2.82e-05,0.343,0.0362,0.455,107.943,-7.66,210559,0.48
2pAD0PKMUMtxlMvz33tYzB,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Is This It,0.149,0.664,0.679,4.84e-05,0.347,0.03,0.804,96.002,-8.293,150651,0.58
1EsgUWQsxGBwnu3NATDjiU,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,The Modern Age,0.0124,0.53,0.89,0.759,0.143,0.0328,0.868,145.958,-6.042,207679,0.54
7G8hUONVhvJnkD3Ak8mNF1,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Soma,0.0774,0.501,0.715,0.00603,0.0653,0.0301,0.502,148.971,-7.382,153809,0.52
4KC2Z9dL4jL61Ys35N6srg,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Barely Legal,0.004,0.427,0.886,0.0532,0.0909,0.037,0.857,157.609,-6.304,234522,0.52
56NkIxSZZiMpFP5ZNSxtnT,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Someday,0.0033,0.542,0.531,1.51e-06,0.338,0.0301,0.671,105.97,-7.481,183391,0.74
4pXyK9GW7fuT645U0DLYYF,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,"Alone, Together",0.00782,0.511,0.855,0.89,0.0694,0.0307,0.962,142.985,-5.752,188314,0.5
7kzKAuUzOITUauHAhoMoxA,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Last Nite,0.0285,0.624,0.91,0.000198,0.0789,0.0297,0.767,104.042,-5.703,193051,0.74
2LMloFiV7DHpBhITOaBSam,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Hard To Explain,0.000413,0.406,0.682,0.849,0.0999,0.0584,0.623,82.495,-6.281,223980,0.6
37cb7mzkQKksGm0noGDXeh,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Trying Your Luck,0.00911,0.502,0.691,0.0149,0.133,0.0311,0.629,143.926,-9.453,202617,0.5
0J2OnBNKwt0KICDyDFPUvl,2yNaksHgeMQM9Quse463b5,Is This It,2001-07-30,Take It Or Leave It,0.000542,0.429,0.924,0.353,0.104,0.0406,0.484,154.104,-6.131,195233,0.49
6r9OlIcJLJ9eIBqwtb9fIY,5Bhlgao0qxOHiwnsgL8nZd,Spider Man - Music From And Inspired By,2002-07-12,Hero (feat. Josey Scott) - Motion Picture Version,0.00155,0.43,0.829,0.0,0.0666,0.0382,0.337,147.337,-4.326,199027,0.0
4ivrh8zNXi5PtKxi71KqQZ,5Bhlgao0qxOHiwnsgL8nZd,Spider Man - Music From And Inspired By,2002-07-12,What We're All About - The Original Version,0.0242,0.781,0.899,0.0,0.655,0.134,0.884,107.25,-5.01,214107,0.0
0GUrSkZVL1CwUTezcoQCCT,5Bhlgao0qxOHiwnsgL8nZd,Spider Man - Music From And Inspired By,2002-07-12,Learn To Crawl,7.8e-05,0.331,0.921,1.44e-06,0.116,0.0619,0.257,168.017,-5.011,215467,0.23
01xKmOJwrHllgSUv4dkZzY,5Bhlgao0qxOHiwnsgL8nZd,Spider Man - Music From And Inspired By,2002-07-12,Somebody Else,0.000106,0.415,0.651,2.13e-05,0.114,0.0331,0.358,135.036,-5.746,217267,0.2
1LS2KsiN7cHzyMci2B7PAb,5Bhlgao0qxOHiwnsgL8nZd,Spider Man - Music From And Inspired By,2002-07-12,Theme from Spider Man,0.677,0.394,0.619,0.00638,0.57,0.0535,0.949,105.489,-9.846,60293,0.0
0dIsPRHkOB9EumgvFGb1Ih,5Bhlgao0qxOHiwnsgL8nZd,Spider Man - Music From And Inspired By,2002-07-12,Blind,0.00314,0.198,0.888,0.00715,0.117,0.0612,0.695,180.351,-4.834,190467,0.0
